property_name,total_area_sqft,price,rera_number,created_at
"3 BHK Flat for Sale in The Trinity, Wagholi, Pune",1148.0,12500000.0,,2024-11-28 13:51:56.289822
"4 BHK Flat for Sale in Yashwin Enchante, Wagholi, Pune",1420.0,13899999.999999998,,2024-11-28 13:51:56.289822
"3 BHK Flat for Sale in Puneville, Punawale, Pimpri Chinchwad, Pune",960.0,9170000.0,,2024-11-28 13:51:56.290818
"3 BHK Flat for Sale in Life Republic Sector R22 Avenue Atmos, Hinjawadi, Pune",1044.0,9570000.0,,2024-11-28 13:51:56.290818
"4 BHK Flat for Sale in Venkatesh Laurel, Shivajinagar, Pune",1778.0,40900000.0,,2024-11-28 13:51:56.290818
"2 BHK Flat for Sale in Puneville, Punawale, Pimpri Chinchwad, Pune",933.0,9140000.0,,2024-11-28 13:51:56.290818
"2 BHK Flat for Sale in Renuka Panch Tattva, Tathawade Pimpri Chinchwad, Pune",813.0,8259999.999999999,,2024-11-28 13:51:56.292322
"2 BHK Flat for Sale in Kumar Parc Residences, Hadapsar, Pune",840.0,10200000.0,,2024-11-28 13:51:56.292322
"3 BHK Flat for Sale in Pride Wellington, Charholi BK, Pune",1156.0,10400000.0,,2024-11-28 13:51:56.292322
"3 BHK Flat for Sale in Seraph Supremus B Wing, Bavdhan, Pune",1116.0,14600000.0,,2024-11-28 13:51:56.293329
"4 BHK Flat for Sale in 24K Manor, Pimple Nilakh, Pimpri Chinchwad, Pune",1823.0,30900000.0,,2024-11-28 13:51:56.293329
"4 BHK Flat for Sale in The Canary, Balewadi, Pune",1679.0,25000000.0,,2024-11-28 13:51:56.293329
"3 BHK Flat for Sale in Bramha the Collection, New Kalyani Nagar, Pune",1070.0,26700000.0,,2024-11-28 13:51:56.294327
"3 BHK Flat for Sale in Life Republic Aros, Hinjawadi, Pune",1176.0,10500000.0,,2024-11-28 13:51:56.294327
"3 BHK Flat for Sale in K PUNE, Bavdhan, Pune",1249.0,14000000.0,,2024-11-28 13:51:56.294327
"2 BHK Flat for Sale in Kohinoor Riverdale, Wagholi, Pune",769.0,9410000.0,,2024-11-28 13:51:56.295579
"5 BHK Flat for Sale in Supreme Towers, Mundhwa, Pune",4300.0,79800000.0,,2024-11-28 13:51:56.295579
"4 BHK Flat for Sale in Joyville Celestia, Hadapsar, Pune",1270.0,14500000.0,,2024-11-28 13:51:56.295579
"3 BHK Flat for Sale in The Gale at Godrej Park World, Hinjawadi, Pune",948.0,11299999.999999998,,2024-11-28 13:51:56.296585
"2 BHK Flat for Sale in VTP Altair, Kharadi, Pune",845.0,9490000.0,,2024-11-28 13:51:56.296585
"3 BHK Flat for Sale in VTP Dolce Vita, Kharadi, Pune",1466.0,19100000.0,,2024-11-28 13:51:56.296585
"3 BHK Flat for Sale in Rohan Nidita, Hinjawadi, Pune",1191.0,12900000.0,,2024-11-28 13:51:56.297584
"3 BHK Flat for Sale in Life Republic Sector R22 Avenue Atmos, Hinjawadi, Pune",1037.0,9510000.0,,2024-11-28 13:51:56.298089
"3 BHK Flat for Sale in Zenistry, Baner, Pune",1325.0,13899999.999999998,,2024-11-28 13:51:56.298089
"4 BHK Flat for Sale in Yoo One, Kondhwa, Pune",1969.0,31000000.0,,2024-11-28 13:51:56.298593
"4 BHK Flat for Sale in Osian Almanova, Mundhwa, Pune",2558.0,37300000.0,,2024-11-28 13:51:56.298593
"4 BHK Flat for Sale in The Ornate, Baner, Pune",1841.0,28200000.0,,2024-11-28 13:51:56.298593
"4 BHK Flat for Sale in Mantra Magnus, Mundhwa, Pune",1798.0,177600000.00000003,,2024-11-28 13:51:56.299598
"4 BHK Flat for Sale in K Shire, Punawale, Pimpri Chinchwad, Pune",1823.0,16800000.0,,2024-11-28 13:51:56.299598
"3 BHK Flat for Sale in Old Mahabalipuram Road Chennai, Chennai",1572.0,11700000.0,,2024-11-28 13:52:12.990650
"3 BHK Flat for Sale in Koyambedu, Chennai",1081.0,10800000.0,,2024-11-28 13:52:12.990650
"1 BHK Flat for Sale in Medavakkam, Chennai",357.0,4880000.0,,2024-11-28 13:52:12.990650
"2 BHK Flat for Sale in Kelambakkam, Chennai",1006.0,6240000.0,,2024-11-28 13:52:12.992398
"2 BHK Flat for Sale in Rajakilpakkam, Chennai",997.0,7420000.0,,2024-11-28 13:52:12.992398
"2 BHK Flat for Sale in Kadirvedu, Chennai",1235.0,9140000.0,,2024-11-28 13:52:12.992398
