state_name,city_name,locality_name,pin_code,created_at
Gujarat,Ahmedabad,Kavisha The Portrait,,2024-11-28 13:52:30.307436
Gujarat,Ahmedabad,THE REGAL,,2024-11-28 13:52:30.308443
Gujarat,Ahmedabad,Ideal Imbert,,2024-11-28 13:52:30.308443
Gujarat,Ahmedabad,Vishakha Empyrean,,2024-11-28 13:52:30.308952
Gujarat,Ahmedabad,Soham Dev Param,,2024-11-28 13:52:30.308952
Gujarat,Ahmedabad,World Trade Tower,,2024-11-28 13:52:30.308952
Gujarat,Ahmedabad,Saiyamm Apricus 2,,2024-11-28 13:52:30.309957
Gujarat,Ahmedabad,Riviera Palacio,,2024-11-28 13:52:30.309957
Gujarat,Ahmedabad,Elenza Gradient,,2024-11-28 13:52:30.309957
Gujarat,Ahmedabad,Rajshree Regalia,,2024-11-28 13:52:30.310956
Gujarat,Ahmedabad,VR Reflection,,2024-11-28 13:52:30.310956
Gujarat,Ahmedabad,Saayam,,2024-11-28 13:52:30.310956
Gujarat,Ahmedabad,Artiz Arcelia,,2024-11-28 13:52:30.311956
Gujarat,Ahmedabad,The Emberlynn,,2024-11-28 13:52:30.311956
Gujarat,Ahmedabad,Kavisha The Portrait,,2024-11-28 13:52:30.311956
Gujarat,Ahmedabad,Elenza Gradient,,2024-11-28 13:52:30.312956
Gujarat,Ahmedabad,Shilp Residency,,2024-11-28 13:52:30.313461
Gujarat,Ahmedabad,Green Park,,2024-11-28 13:52:30.313461
Gujarat,Ahmedabad,Eklingji satvam,,2024-11-28 13:52:30.313461
Gujarat,Ahmedabad,VR Reflection,,2024-11-28 13:52:30.314466
Gujarat,Ahmedabad,HR Eliseo,,2024-11-28 13:52:30.314466
Gujarat,Ahmedabad,Ideal Imprint,,2024-11-28 13:52:30.314466
Gujarat,Ahmedabad,Shantam Parmeshwar,,2024-11-28 13:52:30.315466
Gujarat,Ahmedabad,Sun Urban Park,,2024-11-28 13:52:30.315466
Gujarat,Ahmedabad,Venus Pashmina,,2024-11-28 13:52:30.315466
Gujarat,Ahmedabad,HR Eliseo,,2024-11-28 13:52:30.316466
Gujarat,Ahmedabad,THE REGAL,,2024-11-28 13:52:30.316466
Gujarat,Ahmedabad,Times 40,,2024-11-28 13:52:30.316466
Gujarat,Ahmedabad,Ivory Orchards,,2024-11-28 13:52:30.317466
